region,nodes,total,run_idfeature_stor,run_tracksingle_stor,run_gettracks_stor,run_trackstats_stor,run_identifymcs_stor,run_matchpf_stor,run_robustmcs_stor,run_mapfeature_stor,run_speed_stor,regret_vs_global_best
0,32,34.76062126773974,beegfs,beegfs,ssd,beegfs,ssd,ssd,beegfs,beegfs,beegfs,30.373293835237995
0,16,34.85381760457173,beegfs,ssd,beegfs,beegfs,beegfs,ssd,ssd,beegfs,beegfs,30.46649017206999
0,16,34.85955630769341,beegfs,ssd,beegfs,ssd,beegfs,ssd,ssd,beegfs,beegfs,30.472228875191668
0,16,34.869142564843806,beegfs,beegfs,ssd,beegfs,beegfs,ssd,ssd,beegfs,beegfs,30.481815132342064
0,32,34.91101091493986,beegfs,ssd,beegfs,ssd,beegfs,ssd,ssd,beegfs,beegfs,30.523683482438116
0,32,35.02913348892053,beegfs,ssd,beegfs,beegfs,beegfs,ssd,ssd,beegfs,beegfs,30.641806056418787
0,32,35.064479357142055,beegfs,beegfs,ssd,beegfs,beegfs,ssd,ssd,beegfs,beegfs,30.677151924640313
0,16,35.25151754079808,beegfs,beegfs,beegfs,ssd,ssd,beegfs,beegfs,beegfs,beegfs,30.86419010829634
0,16,35.28648571408255,beegfs,beegfs,beegfs,ssd,ssd,beegfs,tmpfs,beegfs,beegfs,30.89915828158081
0,8,35.31705153152096,beegfs,beegfs,beegfs,ssd,beegfs,tmpfs,tmpfs,beegfs,beegfs,30.929724099019218
0,32,35.322993055993976,beegfs,beegfs,beegfs,ssd,ssd,beegfs,beegfs,beegfs,beegfs,30.935665623492234
0,32,35.357961229278445,beegfs,beegfs,beegfs,ssd,ssd,beegfs,tmpfs,beegfs,beegfs,30.970633796776703
0,8,35.37596226053195,beegfs,ssd,beegfs,beegfs,tmpfs,tmpfs,beegfs,beegfs,beegfs,30.988634828030207
0,8,35.42380602932236,beegfs,beegfs,ssd,beegfs,tmpfs,tmpfs,beegfs,beegfs,beegfs,31.036478596820615
0,16,35.560868532056034,beegfs,beegfs,ssd,ssd,beegfs,beegfs,beegfs,beegfs,beegfs,31.173541099554292
0,16,35.569816197293854,beegfs,ssd,beegfs,ssd,ssd,beegfs,beegfs,beegfs,beegfs,31.18248876479211
0,16,35.59278814654368,beegfs,beegfs,beegfs,ssd,ssd,beegfs,ssd,beegfs,beegfs,31.20546071404194
0,16,35.59583670534051,beegfs,beegfs,ssd,ssd,beegfs,beegfs,tmpfs,beegfs,beegfs,31.208509272838768
0,16,35.59926961417187,beegfs,beegfs,ssd,ssd,beegfs,tmpfs,beegfs,beegfs,beegfs,31.211942181670125
0,8,35.6028313794984,beegfs,ssd,beegfs,ssd,beegfs,tmpfs,tmpfs,beegfs,beegfs,31.215503946996655
0,16,35.60478437057832,beegfs,ssd,beegfs,ssd,ssd,beegfs,tmpfs,beegfs,beegfs,31.21745693807658
0,32,35.6212708045403,beegfs,ssd,beegfs,ssd,ssd,beegfs,beegfs,beegfs,beegfs,31.23394337203856
0,8,35.63232797861198,beegfs,beegfs,beegfs,ssd,beegfs,ssd,ssd,beegfs,beegfs,31.24500054611024
0,32,35.632344047251934,beegfs,beegfs,ssd,ssd,beegfs,beegfs,beegfs,beegfs,beegfs,31.24501661475019
0,32,35.65623897782477,beegfs,ssd,beegfs,ssd,ssd,beegfs,tmpfs,beegfs,beegfs,31.26891154532303
0,32,35.664263661739575,beegfs,beegfs,beegfs,ssd,ssd,beegfs,ssd,beegfs,beegfs,31.276936229237833
0,32,35.6673122205364,beegfs,beegfs,ssd,ssd,beegfs,beegfs,tmpfs,beegfs,beegfs,31.27998478803466
0,32,35.670745129367766,beegfs,beegfs,ssd,ssd,beegfs,tmpfs,beegfs,beegfs,beegfs,31.283417696866024
0,8,35.677363561420044,beegfs,ssd,beegfs,beegfs,beegfs,tmpfs,tmpfs,beegfs,beegfs,31.290036128918302
0,8,35.68878191910874,beegfs,ssd,beegfs,beegfs,ssd,ssd,beegfs,beegfs,beegfs,31.301454486607
0,8,35.72520733021045,beegfs,beegfs,ssd,beegfs,beegfs,tmpfs,tmpfs,beegfs,beegfs,31.33787989770871
0,8,35.736625687899156,beegfs,beegfs,ssd,beegfs,ssd,ssd,beegfs,beegfs,beegfs,31.349298255397414
0,16,35.863218269352515,beegfs,ssd,ssd,beegfs,beegfs,beegfs,beegfs,beegfs,beegfs,31.475890836850773
0,16,35.898186442636984,beegfs,ssd,ssd,beegfs,beegfs,beegfs,tmpfs,beegfs,beegfs,31.510859010135242
0,16,35.90161935146835,beegfs,ssd,ssd,beegfs,beegfs,tmpfs,beegfs,beegfs,beegfs,31.514291918966606
0,16,35.90213913780163,beegfs,beegfs,ssd,ssd,beegfs,beegfs,ssd,beegfs,beegfs,31.51481170529989
0,16,35.911086803039446,beegfs,ssd,beegfs,ssd,ssd,beegfs,ssd,beegfs,beegfs,31.523759370537704
0,16,35.91312328129009,beegfs,beegfs,ssd,ssd,beegfs,ssd,beegfs,beegfs,beegfs,31.52579584878835
0,8,35.91810782658941,beegfs,ssd,beegfs,ssd,beegfs,ssd,ssd,beegfs,beegfs,31.53078039408767
